PERMNO,date,TICKER,PRC,VOL
14593,2019-12-12,AAPL,271.45999,34375256
14593,2019-12-13,AAPL,275.14999,33380811
14593,2019-12-16,AAPL,279.85999,32053548
14593,2019-12-17,AAPL,280.41000,28559039
14593,2019-12-18,AAPL,279.73999,29006028
14593,2019-12-19,AAPL,280.01999,24604314
14593,2019-12-20,AAPL,279.44000,68999972
14593,2019-12-23,AAPL,284.00000,24645515
14593,2019-12-24,AAPL,284.26999,12105327
14593,2019-12-26,AAPL,289.91000,23320594
14593,2019-12-27,AAPL,289.79999,36547580
14593,2019-12-30,AAPL,291.51999,36075285
14593,2019-12-31,AAPL,293.64999,25211173
14593,2020-01-02,AAPL,300.35001,33884314
14593,2020-01-03,AAPL,297.42999,36604600
14593,2020-01-06,AAPL,299.79999,29597401
14593,2020-01-07,AAPL,298.39001,27864170
14593,2020-01-08,AAPL,303.19000,33060420
14593,2020-01-09,AAPL,309.63000,42591634
14593,2020-01-10,AAPL,310.32999,35186623
14593,2020-01-13,AAPL,316.95999,30502330
14593,2020-01-14,AAPL,312.67999,40621057
14593,2020-01-15,AAPL,311.34000,30452727
14593,2020-01-16,AAPL,315.23999,27627154
14593,2020-01-17,AAPL,318.73001,34420045
14593,2020-01-21,AAPL,316.57001,27674778
14593,2020-01-22,AAPL,317.70001,25432169
14593,2020-01-23,AAPL,319.23001,26094188
14593,2020-01-24,AAPL,318.31000,36599802
14593,2020-01-27,AAPL,308.95001,40414808
14593,2020-01-28,AAPL,317.69000,40519265
14593,2020-01-29,AAPL,324.34000,54084956
14593,2020-01-30,AAPL,323.87000,31655940
14593,2020-01-31,AAPL,309.51001,49774162
14593,2020-02-03,AAPL,308.66000,43429346
14593,2020-02-04,AAPL,318.85001,34121782
14593,2020-02-05,AAPL,321.45001,29676769
14593,2020-02-06,AAPL,325.20999,26335234
14593,2020-02-07,AAPL,320.03000,29385908
14593,2020-02-10,AAPL,321.54999,27300253
14593,2020-02-11,AAPL,319.60999,23553383
14593,2020-02-12,AAPL,327.20001,28389294
14593,2020-02-13,AAPL,324.87000,23664270
14593,2020-02-14,AAPL,324.95001,20012702
14593,2020-02-18,AAPL,319.00000,38134455
14593,2020-02-19,AAPL,323.62000,23475508
14593,2020-02-20,AAPL,320.29999,25104231
14593,2020-02-21,AAPL,313.04999,32382677
14593,2020-02-24,AAPL,298.17999,55358969
14593,2020-02-25,AAPL,288.07999,57562282
14593,2020-02-26,AAPL,292.64999,49617890
14593,2020-02-27,AAPL,273.51999,80001860
14593,2020-02-28,AAPL,273.35999,106327264
14593,2020-03-02,AAPL,298.81000,85232545
14593,2020-03-03,AAPL,289.32001,79720151
14593,2020-03-04,AAPL,302.73999,54708936
14593,2020-03-05,AAPL,292.92001,46806481
14593,2020-03-06,AAPL,289.03000,56478313
14593,2020-03-09,AAPL,266.17001,71558828
14593,2020-03-10,AAPL,285.34000,71270996
14593,2020-03-11,AAPL,275.42999,64033461
14593,2020-03-12,AAPL,248.23000,104451482
14593,2020-03-13,AAPL,277.97000,92561680
14593,2020-03-16,AAPL,242.21001,80551692
14593,2020-03-17,AAPL,252.86000,80907982
14593,2020-03-18,AAPL,246.67000,74920302
14593,2020-03-19,AAPL,244.78000,67827866
14593,2020-03-20,AAPL,229.24001,100272318
14593,2020-03-23,AAPL,224.37000,83978689
14593,2020-03-24,AAPL,246.88000,71791972
14593,2020-03-25,AAPL,245.52000,75687406
14593,2020-03-26,AAPL,258.44000,63019408
14593,2020-03-27,AAPL,247.74001,50970706
14593,2020-03-30,AAPL,254.81000,41921042
14593,2020-03-31,AAPL,254.28999,49168898
14593,2020-04-01,AAPL,240.91000,43978002
14593,2020-04-02,AAPL,244.92999,41424453
14593,2020-04-03,AAPL,241.41000,32428323
14593,2020-04-06,AAPL,262.47000,50353687
14593,2020-04-07,AAPL,259.42999,50624293
14593,2020-04-08,AAPL,266.07001,42151786
14593,2020-04-09,AAPL,267.98999,40446131
14593,2020-04-13,AAPL,273.25000,32689382
14593,2020-04-14,AAPL,287.04999,48660844
14593,2020-04-15,AAPL,284.42999,32742364
14593,2020-04-16,AAPL,286.69000,39214816
14593,2020-04-17,AAPL,282.79999,53719852
